MatchId, BotType, Result, TimeMs, TotalClicks
613, ? , DEFEAT, 0, 5
614, ? , DEFEAT, 0, 1
615, ? , DEFEAT, 0, 6
616, ? , DEFEAT, 0, 2
617, ? , DEFEAT, 0, 1
618, ? , DEFEAT, 0, 3
619, ? , DEFEAT, 0, 2
620, ? , DEFEAT, 1, 1
621, ? , DEFEAT, 0, 5
622, ? , DEFEAT, 0, 4
623, ? , DEFEAT, 0, 2
624, ? , DEFEAT, 0, 3
625, ? , DEFEAT, 0, 5
626, ? , DEFEAT, 0, 4
627, ? , DEFEAT, 0, 4
628, ? , DEFEAT, 0, 8
629, ? , DEFEAT, 0, 4
630, ? , DEFEAT, 0, 3
631, ? , DEFEAT, 0, 2
632, ? , DEFEAT, 0, 8
633, ? , DEFEAT, 0, 2
634, ? , DEFEAT, 0, 4
635, ? , DEFEAT, 0, 6
636, ? , DEFEAT, 0, 2
637, ? , DEFEAT, 0, 4
638, ? , DEFEAT, 0, 5
639, ? , DEFEAT, 0, 4
640, ? , DEFEAT, 0, 1
641, ? , DEFEAT, 0, 4
642, ? , DEFEAT, 0, 5
643, ? , DEFEAT, 0, 2
644, ? , DEFEAT, 0, 1
645, ? , DEFEAT, 0, 7
646, ? , DEFEAT, 0, 4
647, ? , DEFEAT, 0, 3
648, ? , DEFEAT, 0, 7
649, ? , DEFEAT, 0, 6
650, ? , DEFEAT, 0, 7
651, ? , DEFEAT, 0, 1
652, ? , DEFEAT, 0, 2
653, ? , DEFEAT, 0, 9
654, ? , DEFEAT, 0, 1
655, ? , DEFEAT, 0, 3
656, ? , DEFEAT, 0, 1
657, ? , DEFEAT, 0, 10
658, ? , DEFEAT, 0, 4
659, ? , DEFEAT, 0, 4
660, ? , DEFEAT, 0, 2
661, ? , DEFEAT, 0, 6
662, ? , DEFEAT, 0, 8
663, ? , DEFEAT, 0, 1
664, ? , DEFEAT, 0, 2
665, ? , DEFEAT, 0, 2
666, ? , DEFEAT, 0, 7
667, ? , DEFEAT, 0, 4
668, ? , DEFEAT, 0, 3
669, ? , DEFEAT, 0, 3
670, ? , DEFEAT, 0, 5
671, ? , DEFEAT, 0, 4
672, ? , DEFEAT, 0, 3
673, ? , DEFEAT, 0, 2
674, ? , DEFEAT, 0, 2
675, ? , DEFEAT, 0, 4
676, ? , DEFEAT, 0, 3
677, ? , DEFEAT, 0, 6
678, ? , DEFEAT, 0, 1
679, ? , DEFEAT, 0, 2
680, ? , DEFEAT, 0, 7
681, ? , DEFEAT, 0, 5
682, ? , DEFEAT, 0, 3
683, ? , DEFEAT, 0, 3
684, ? , DEFEAT, 0, 2
685, ? , DEFEAT, 0, 1
686, ? , DEFEAT, 0, 5
687, ? , DEFEAT, 0, 2
688, ? , DEFEAT, 0, 2
689, ? , DEFEAT, 0, 2
690, ? , DEFEAT, 0, 2
691, ? , DEFEAT, 0, 8
692, ? , DEFEAT, 0, 9
693, ? , DEFEAT, 0, 2
694, ? , DEFEAT, 0, 3
695, ? , DEFEAT, 0, 3
696, ? , DEFEAT, 0, 4
697, ? , DEFEAT, 0, 3
698, ? , DEFEAT, 0, 4
699, ? , DEFEAT, 0, 3
700, ? , DEFEAT, 0, 2
701, ? , DEFEAT, 0, 2
702, ? , DEFEAT, 0, 3
703, ? , DEFEAT, 0, 1
704, ? , DEFEAT, 0, 5
705, ? , DEFEAT, 0, 2
706, ? , DEFEAT, 0, 2
707, ? , DEFEAT, 0, 8
708, ? , DEFEAT, 0, 4
709, ? , DEFEAT, 0, 1
710, ? , DEFEAT, 0, 7
711, ? , DEFEAT, 0, 3
712, ? , DEFEAT, 0, 3
713, ? , DEFEAT, 0, 2
714, ? , DEFEAT, 0, 2
715, ? , DEFEAT, 0, 6
716, ? , DEFEAT, 0, 3
717, ? , DEFEAT, 0, 2
718, ? , DEFEAT, 0, 4
719, ? , DEFEAT, 0, 6
720, ? , DEFEAT, 0, 5
721, ? , DEFEAT, 0, 1
722, ? , DEFEAT, 0, 1
723, ? , DEFEAT, 0, 4
724, ? , DEFEAT, 0, 1
725, ? , DEFEAT, 0, 2
726, ? , DEFEAT, 0, 2
727, ? , DEFEAT, 0, 2
728, ? , DEFEAT, 0, 2
729, ? , DEFEAT, 0, 5
730, ? , DEFEAT, 0, 4
731, ? , DEFEAT, 0, 2
732, ? , DEFEAT, 0, 9
733, ? , DEFEAT, 0, 3
734, ? , DEFEAT, 0, 3
735, ? , DEFEAT, 0, 3
736, ? , DEFEAT, 0, 8
737, ? , DEFEAT, 0, 5
738, ? , DEFEAT, 0, 5
739, ? , DEFEAT, 0, 1
740, ? , DEFEAT, 0, 3
741, ? , DEFEAT, 0, 1
742, ? , DEFEAT, 0, 5
743, ? , DEFEAT, 0, 1
744, ? , DEFEAT, 0, 3
745, ? , DEFEAT, 0, 6
746, ? , DEFEAT, 0, 1
747, ? , DEFEAT, 0, 7
748, ? , DEFEAT, 0, 3
749, ? , DEFEAT, 0, 2
750, ? , DEFEAT, 0, 3
751, ? , DEFEAT, 0, 3
752, ? , DEFEAT, 0, 5
753, ? , DEFEAT, 0, 3
754, ? , DEFEAT, 0, 2
755, ? , DEFEAT, 0, 1
756, ? , DEFEAT, 0, 4
757, ? , DEFEAT, 0, 5
758, ? , DEFEAT, 0, 3
759, ? , DEFEAT, 0, 6
760, ? , DEFEAT, 0, 8
761, ? , DEFEAT, 0, 3
762, ? , DEFEAT, 0, 3
763, ? , DEFEAT, 0, 7
764, ? , DEFEAT, 0, 3
